OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,RMS,DATA_SOURCE
KUIPER-00029,2025-088U,2025-11-17T21:13:40.000022,14.80137008,.001012,51.9019,225.7334,110.9072,299.5710,0,C,63742,321,1,-.33807E-3,-.25974E-4,0,0.243,Kuiper-E
KUIPER-00030,2025-088V,2025-11-18T00:17:36.999974,14.79943156,.0015496,51.9000,244.3751,61.0850,272.1888,0,C,63743,322,1,-.28228E-3,-.21613E-4,0,0.230,Kuiper-E
KUIPER-00031,2025-088W,2025-11-17T22:31:52.999968,14.79830091,.000522,51.8997,230.7722,98.5940,125.4946,0,C,63744,321,1,.25105E-2,.19145E-3,0,0.409,Kuiper-E
KUIPER-00032,2025-088X,2025-11-17T23:43:39.999965,15.32691208,.0005776,51.8718,202.2635,97.2715,215.6838,0,C,63745,321,1,.38028E-3,.12222E-3,0,0.248,Kuiper-E
KUIPER-00033,2025-088Y,2025-11-17T22:33:07.000013,14.79907606,.0004117,51.8999,260.7526,152.1103,249.0528,0,C,63746,321,1,-.59586E-3,-.45494E-4,0,0.240,Kuiper-E
KUIPER-00034,2025-088Z,2025-11-17T21:24:35.999971,14.76929619,.0003056,51.9004,223.2540,93.5664,313.7646,0,C,63747,321,1,-.1512E-1,-.10732E-2,0,1.735,Kuiper-E
KUIPER-00035,2025-088AA,2025-11-17T22:58:38.999971,14.79910388,.0006661,51.9003,248.1904,56.6044,7.7286,0,C,63748,321,1,-.4029E-3,-.30772E-4,0,0.239,Kuiper-E
KUIPER-00037,2025-088AB,2025-11-17T21:39:36.000000,14.80144719,.0008452,51.8994,247.3680,15.9305,114.5553,0,C,63749,321,1,-.45842E-3,-.35216E-4,0,0.238,Kuiper-E
KUIPER-00038,2025-088AC,2025-11-18T00:31:10.000042,14.79924316,.0007924,51.9008,231.8715,65.1360,246.1996,0,C,63750,322,1,-.29964E-2,-.22886E-3,0,0.250,Kuiper-E
KUIPER-00039,2025-134A,2025-11-18T00:58:08.999962,14.80096168,.0011349,51.9019,6.7842,284.1473,277.2338,0,C,64500,322,1,.29164E-3,.22393E-4,0,0.257,Kuiper-E
KUIPER-00040,2025-134B,2025-11-17T21:48:05.000026,14.79910166,.0016577,51.9013,18.5361,258.3121,21.5100,0,C,64501,321,1,-.14412E-3,-.1103E-4,0,0.254,Kuiper-E
KUIPER-00041,2025-134C,2025-11-18T00:47:37.000032,14.79951936,.0013483,51.9008,19.3401,255.3426,334.9816,0,C,64502,322,1,-.61505E-2,-.47028E-3,0,0.460,Kuiper-E
KUIPER-00042,2025-134D,2025-11-18T00:58:45.999984,14.80087381,.0011973,51.9009,15.3006,264.9073,350.2407,0,C,64503,322,1,.27615E-3,.21201E-4,0,0.263,Kuiper-E
KUIPER-00043,2025-134E,2025-11-18T01:07:34.999968,14.79962015,.0003258,51.9027,7.7218,263.5299,337.4915,0,C,64504,322,1,.33314E-3,.25471E-4,0,0.258,Kuiper-E
KUIPER-00044,2025-134F,2025-11-17T23:04:26.999990,14.80067974,.001142,51.9012,20.6505,263.9331,315.5675,0,C,64505,321,1,-.22459E-4,-.17232E-5,0,0.254,Kuiper-E
KUIPER-00046,2025-134G,2025-11-18T00:50:38.999990,14.80204738,.0011897,51.9002,16.7886,273.2180,319.6884,0,C,64506,322,1,.21376E-3,.16457E-4,0,0.261,Kuiper-E
KUIPER-00047,2025-134H,2025-11-17T23:49:39.999994,14.82717949,.0007776,51.8990,349.0818,284.2412,315.2773,0,C,64507,321,1,.35351E-3,.28887E-4,0,0.259,Kuiper-E
KUIPER-00048,2025-134J,2025-11-18T00:54:00.000000,14.77548619,.0001586,51.8999,349.2951,61.2880,28.1462,0,C,64508,322,1,.12091E+0,.89148E-2,0,2.340,Kuiper-E
KUIPER-00049,2025-134K,2025-11-17T21:53:08.999981,14.80091578,.0002601,51.9013,3.3262,273.6652,302.9173,0,C,64509,321,1,-.25469E-4,-.19531E-5,0,0.253,Kuiper-E
KUIPER-00050,2025-134L,2025-11-18T00:54:34.000042,14.96252827,.0004684,51.8917,359.1319,312.6888,247.0123,0,C,64510,322,1,.14367E-3,.16432E-4,0,0.260,Kuiper-E
KUIPER-00051,2025-134M,2025-11-17T23:39:39.000038,14.79950850,.0001755,51.9032,0.5712,285.7244,306.8062,0,C,64511,321,1,.17508E-3,.13382E-4,0,0.260,Kuiper-E
KUIPER-00052,2025-134N,2025-11-17T22:38:00.000038,15.66855571,.0005987,51.8664,320.5561,354.8858,90.5108,0,C,64512,321,1,.46737E-3,.50703E-3,0,0.281,Kuiper-E
KUIPER-00053,2025-134P,2025-11-17T23:12:35.999971,14.79869832,.0002396,51.9024,356.8785,319.4639,274.7749,0,C,64513,321,1,.15556E-3,.11867E-4,0,0.258,Kuiper-E
KUIPER-00054,2025-134Q,2025-11-18T00:54:37.000022,14.79873516,.0004766,51.8990,351.8057,300.2618,158.1965,0,C,64514,322,1,-.42E-2,-.32022E-3,0,0.345,Kuiper-E
KUIPER-00055,2025-134R,2025-11-18T00:26:06.999994,15.16887029,.0002266,51.8926,344.4070,66.3658,188.2680,0,C,64515,322,1,.16711E-3,.33418E-4,0,0.264,Kuiper-E
KUIPER-00056,2025-134S,2025-11-18T00:41:05.000035,14.80019894,.0001543,51.9036,357.8798,295.9137,149.6022,0,C,64516,322,1,-.88305E-2,-.67493E-3,0,0.562,Kuiper-E
KUIPER-00057,2025-134T,2025-11-18T01:13:35.999990,14.79939968,.0009106,51.9012,5.2752,270.8160,338.5933,0,C,64517,322,1,.21586E-3,.16506E-4,0,0.256,Kuiper-E
KUIPER-00058,2025-134U,2025-11-18T00:39:05.000026,14.79987965,.0004672,51.9013,359.2985,307.0265,136.8937,0,C,64518,322,1,-.60221E-2,-.46024E-3,0,0.456,Kuiper-E
KUIPER-00059,2025-134V,2025-11-18T00:46:24.999974,14.79932079,.0004367,51.9003,354.3326,96.0603,346.3824,0,C,64519,322,1,-.59431E-2,-.4536E-3,0,0.449,Kuiper-E
KUIPER-00060,2025-134W,2025-11-17T23:46:08.999962,14.80060954,.0002202,51.9033,355.5471,4.5405,226.0751,0,C,64520,321,1,.34863E-3,.26717E-4,0,0.262,Kuiper-E
KUIPER-00061,2025-134X,2025-11-17T23:38:37.000003,14.80061834,.0004956,51.9023,2.0390,268.9883,325.3837,0,C,64521,321,1,.15632E-3,.11982E-4,0,0.259,Kuiper-E
KUIPER-00062,2025-134Y,2025-11-18T00:42:37.999958,14.84945119,.0006605,51.8983,7.6958,291.0268,309.3502,0,C,64522,322,1,.34916E-3,.30109E-4,0,0.264,Kuiper-E
KUIPER-00063,2025-134Z,2025-11-18T00:55:06.000010,14.80091281,.0003151,51.9029,11.7327,230.1896,19.6642,0,C,64523,322,1,.3519E-3,.26989E-4,0,0.263,Kuiper-E
KUIPER-00064,2025-134AA,2025-11-18T00:48:36.999994,14.76587810,.0006872,51.9038,9.1100,346.5005,254.6837,0,C,64524,322,1,-.90155E-2,-.63569E-3,0,0.883,Kuiper-E
KUIPER-00065,2025-134AB,2025-11-17T21:05:15.999965,14.76863707,.0010491,51.9028,14.7354,271.2843,4.7279,0,C,64525,321,1,-.81014E-4,-.5761E-5,0,0.251,Kuiper-E
KUIPER-00066,2025-134AC,2025-11-18T00:03:39.999974,15.19697453,.0001845,51.8907,351.1631,341.9836,104.9504,0,C,64526,322,1,.2451E-3,.53152E-4,0,0.272,Kuiper-E
KUIPER-00069,2025-151A,2025-11-18T01:14:06.999965,14.79808445,.0006441,51.9022,54.1919,266.9712,303.6508,0,C,64816,322,1,-.255E-4,-.1943E-5,0,0.253,Kuiper-E
KUIPER-00070,2025-151B,2025-11-18T00:46:07.000003,14.79983598,.0010117,51.8993,79.3127,238.3244,151.7923,0,C,64817,322,1,-.44059E-2,-.33702E-3,0,0.214,Kuiper-E
KUIPER-00071,2025-151C,2025-11-17T21:20:41.000006,14.79926755,.000754,51.9002,77.4527,210.8931,124.4908,0,C,64818,321,1,.33639E-3,.25709E-4,0,0.233,Kuiper-E
KUIPER-00072,2025-151D,2025-11-17T23:12:35.999971,14.86392969,.0002136,51.8999,56.7749,218.0139,51.2221,0,C,64819,321,1,.33585E-5,.29991E-6,0,0.251,Kuiper-E
